TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
8-5 Ma	Placunanomia hannabili Jordan and Hertlein	Placunanomia hannabili Jordan and Hertlein	Genus, 26N-1S
N.D.	Placunanomia sp.	Placunanomia sp.	Genus, 26N-1S
13 Ma-H	Platyodon cancellatus (Conrad)	Mya (Platydon) (Platyodon) cancellatus	53.6N-28.3N; intertidal, boring in clay to 20 m
13 Ma-H	Platyodon cancellatus (Conrad)	Platyodon cancellatus Conrad	54N-28N
8-2.5 Ma	Platyodon colobus Woodring	Platyodon colobus Woodring	Genus, 55N-2S; intertidal
27-23 Ma	Platyodon piedraensis Wiedey	Platyodon piedraensis Wiedey	Genus, 55N-2S
13? or 5 Ma-H	Plicatula penicillata Carpenter	Plicatula penicillata Carpenter	2S north to 0; in rock crevices or inside shells of dead mollusks
			
5-2.5 Ma	Plicifusus (Latifusus) indomitus Talmadge	Plicifusus (Latifusus) indomitus Talmadge	Genus, 72N-33N
	(Talmadge, 1971)	(Talmadge, 1971)	
N.D.	Plicifusus sp.	Plicifusus sp.	Genus, 72N-33N; 18 to 1098 m
13 Ma-H	Pododesmus (Monia) cepio (Gray)	Pododesmus cepio (Gray)	58N-28N; intertidal to 90 m, attached to rocks or
			other shells
13? or 8 Ma-H	Pododesmus (Monia) cf. P. (M.) macroschisma	Pododesmus cf. P. macroschisma (Deshayes)	70.6N-23.5N; intertidal to 90 m, attached to rocks or
	(Deshayes)		other shells
13? or 8 Ma-H	Pododesmus (Monia) macroschisma (Deshayes)	Monia machroschisma (Deshayes)	71N-24N
13? or 8 Ma-H	Pododesmus (Monia) macroschisma (Deshayes)	Monia macroschisma Deshayes	71N-24N
13? or 8 Ma-H	Pododesmus (Monia) macroschisma (Deshayes)	Pododesmus (Monia) macroschisma (Deshayes)	71N-24N
13? or 8 Ma-H	Pododesmus (Monia) macroschisma (Deshayes)	Pododesmus macroschisma Deshayes	71N-24N
13? or 8 Ma-H	Pododesmus (Monia) macroschisma (Deshayes)	Pododesmus macroschismus (Deshayes)	71N-24N
			
N.D.	Pododesmus sp.	Pododesmus n.sp.	Genus, 71N-4S; intertidal to 90 m, rocks or other
			shells
17-8 Ma	Polinices (Euspira) diabloensis (Clark)	Natica (Euspira) diabloensis Clark	Subgenus, 51N-28N
17-8 Ma	Polinices (Euspira) diabloensis (Clark)	Natica diabloensis Clark	Subgenus, 51N-28N
17-8 Ma	Polinices (Euspira) diabloensis (Clark)	Polinices (Polinices) diabloensis (Clark)	Subgenus, 51N-28N
17-8 Ma	Polinices (Euspira) diabloensis (Clark)	Euspira diabloensis (Clark)	Subgenus, 51N-28N
17-2.5 Ma	Polinices (Euspira) galianoi Dall	Polinices galianoi Dall	Genus, 72N-5S; subgenus, 51N-28N
17-2.5 Ma	Polinices (Euspira) galianoi Dall	Natica (Euspira) galianoi (Dall)	Subgenus, 51N-28N
17? or 13-8 Ma	Polinices (Euspira) kirkensis (Clark)	Neverita kirkensis Clark	Subgenus, 51N-28N
17? or 13-8 Ma	Polinices (Euspira) kirkensis (Clark)	Natica (Euspira) kirkensis Clark	Subgenus, 51N-28N
13? or 8 Ma-H	Polinices (Euspira) lewisii (Gould)	Natica lewisii Gould	51N-28N; in bays and lagoons, also on sandy
			substrate offshore
13? or 8 Ma-H	Polinices (Euspira) lewisii (Gould)	Polinices lewisii (Gould)	51N-28N; intertidal to 46 m, sand flats and estuaries,
			mud flats
13? or 8 Ma-H	Polinices (Euspira) lewisii (Gould)	Polinices lewisi (Gould)	51N-28N
13? or 8 Ma-H	Polinices (Euspira) lewisii (Gould)	Lunatia lewisii (Gould)	51N-28N
13? or 8 Ma-H	Polinices (Euspira) lewisii (Gould)	Polinices (Euspira) lewisii (Gould)	51N-28N
5-2.5 Ma	Polinices (Euspira) orbicularis (Nomland)	Natica (Euspira) orbicularis Nomland	Subgenus, 51N-28N
N.D.	Polinices (Euspira) sp.	Lunatia sp.	Subgenus, 51N-28N
5 Ma-H	Polinices (Lunatia) cf. P. (L.) caurina (Gould)	Lunatia cf. L. caurina (Gould)	64N-33N
17-13 Ma	Polinices (Neverita) alta Arnold	Neverita (Glossaulax) alta (Arnold)	Subgenus, 42N-21N, through Gulf of California;
			intertidal to 46 m
17-13 Ma	Polinices (Neverita) alta Arnold	Polinices (Neverita) recluziana alta Arnold	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Natica callosa Gabb	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Neverita (Glosaulax) andersoni (Clark)	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Neverita andersoni (Clark)	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Neverita callosa Conrad	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Neverita reclusiana callosa Gabb	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Polinices (Neverita) ocoyana Conrad	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Polinices (Neverita) recluziana andersoni Clark	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Polinices andersoni Clark	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Polinices reclusianus andersoni Clark	Subgenus, 42N-21N, through Gulf of California
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Polinices recluzianus (Deshayes) andersoni	Subgenus, 42N-21N, through Gulf of California
		Clark	
27-13 Ma	Polinices (Neverita) andersoni (Clark)	Polinices recluzianus andersoni (Clark)	Subgenus, 42N-21N, through Gulf of California
13-8 Ma	Polinices (Neverita) arnoldi (Clark)	Natica (Neverita) arnoldi Clark	Subgenus, 42N-21N, through Gulf of California
13-8 Ma	Polinices (Neverita) arnoldi (Clark)	Natica arnoldi Clark	Subgenus, 42N-21N, through Gulf of California
13-8 Ma	Polinices (Neverita) arnoldi (Clark)	Naverita arnoldi (Clark)	Subgenus, 42N-21N, through Gulf of California
8-5 Ma	Polinices (Neverita) convexa (Nomland)	Neverita convexa (Nomland)	Subgenus, 42N-21N, through Gulf of California
23-13 Ma	Polinices (Neverita) jamesae (Moore)	Neverita (Glossaulax) jamesae Moore	Subgenus, 42N-21N, through Gulf of California
8-5 Ma	Polinices (Neverita) orbicularis (Nomland)	Polinices orbicularis (Nornland)	Subgenus, 42N-21N, through Gulf of California
13-8 Ma	Polinices (Neverita) pabloensis (Clark)	Natica (Neverita) pabloensis Clark	Subgenus, 42N-21N, through Gulf of California
13-8 Ma	Polinices (Neverita) pabloensis (Clark)	Neverita pabloensis (Clark)	Subgenus, 42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Natica recluziana andersoni Clark	42N-21N, through Gulf of California, also on mud
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Natica recluziana Petit	42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Neverita (Glossaulax) reclusiana (Deshayes)?	42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Neverita reclusiana (Deshayes)?	42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Neverita recluziana Petit	42N-21N, through Gulf of California
			
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Polinices (Neverita) reclusiana (Deshayes)	42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Polinices (Neverita) reclusianus (Deshayes)	42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Polinices (Neverita) recluzianus callosus (Gabb)	42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes)	Polinices recluziana Deshayes	42N-21N, through Gulf of California
27 Ma-H	Polinices (Neverita) recluzianus (Deshayes) (see	Natica (Neverita) recluziana Petit	42N-21N, through Gulf of California; intertidal to 46
	Keen, 1971, p. 482)		m, sandflats
N.D.	Polinices (Neverita) sp.	Neverita sp.	Subgenus, 42N-21N, through Gulf of California,
			intertidal to 2815 m
13 Ma-H	Polinices (Polinices) uber (Valenciennes)	Polinices uber (Valenciennes)	32N-5S, through Gulf of California; intertidal and 4 to
			90 m
13 Ma-H	Polinices (Polinices) uber (Valenciennes)	Natica uber Valenciennes	32N-5S, through Gulf of California
27-13 Ma	Polinices (Polinices) victoriana Clark and Arnold	Polinices canalis Moore	Subgenus, 32N-5S, through Gulf of California; 980 to
			3055 m
27-13 Ma	Polinices (Polinices) victoriana Clark and Arnold	Polinices lewisii (Gould)	Subgenus, 32N-5S, through Gulf of California
27-13 Ma	Polinices (Polinices) victoriana Clark and Arnold	Polinices lewisii Gould?	Subgenus, 32N-5S, through Gulf of California
27-13 Ma	Polinices (Polinices) victoriana Clark and Arnold	Polinices victoriana Clark and Arnold	Subgenus, 32N-5S, through Gulf of California
N.D.	Polinices sp.	Polinices sp.	Genus, 72N-5S; intertidal to 3055 m, on mud or sand
N.D.	Polinices sp.	Natica sp.	Genus, 72N-5S
27-5 Ma	Polymesoda dumblei (Anderson)	Cyrena (Corbicula) dumblei Anderson	Genus, 23N-5S; in mud
27-5 Ma	Polymesoda dumblei (Anderson)	Corbicula dumblei F.M. Anderson	Genus, 23N-5S
27-5 Ma	Polymesoda dumblei (Anderson)	Corbicula dumblei Anderson	Genus, 23N-5S
27-5 Ma	Polymesoda dumblei (Anderson)	Polymesoda dumblei (Anderson)	Genus, 23N-5S
13-5 Ma	Polymesoda gabbiana (Henderson)	Cyrena californica Gabb	Genus, 23N-5S
13-5 Ma	Polymesoda gabbiana (Henderson)	Corbicula gabbiana (Henderson)	Genus, 23N-5S
13-5 Ma	Polymesoda gabbiana (Henderson)	Cyrena (Corbicula) californica Gabb	Genus, 23N-5S
N.D.	Polymesoda sp.	Corbicula sp.	Genus, 23N-5S
5-2.5 Ma	Polymesoda? kettlemanensis (Arnold)	Corbicula kettlemanensis (Arnold)	Genus, 23N-5S
13 Ma-H	Polystira albida (Perry)	Turris albida? Perry	28N-15N, Caribbean; 48 to 225 m
17-13 Ma	Polystira englishi Addicott	Polystira englishi Addicott	Genus, 28N-3S, and Gulf of California; 20 to
			225 m
13? or 5-2.5 Ma	Porites carrizensis Vaughan	Porites carrizensis Vaughan (Cnidaria)	“Reef-corals,” genus living Gulf of California
5 Ma-H	Poromya (Dermatomya) tenuiconcha (Dall)	Dermatomya tenuiconcha Dall	55N-36N; genus, 73 to 2928 m
23-17 Ma	Portlandia reagani (Dall)	Portlandia (Portlandella) reagani (Dall)	Genus, 70.4N-54N; 10 to 100 m
8-2.5 Ma	Priscofusus cammani (Dall)	Turris cammani Dall	Genus not living
23-17 Ma	Priscofusus cf. P. coli (Dall)	Priscofusus cf. P. coli (Dall)	Genus not living
27-13 Ma	Priscofusus cf. P. geniculus (Conrad)	Progabbia cf. P. oregonensis (Conrad)	Genus not living
27-13 Ma	Priscofusus cf. P. geniculus (Conrad)	Priscofusus cf. P. hecoxi (Arnold) (?)	Genus not living
17-13 Ma	Priscofusus empireensis (Anderson and Martin)	Fusinus empireensis Anderson and Martin	Genus not living
27-13 Ma	Priscofusus geniculus (Conrad)	Fusinus (Priscofusus) geniculus (Conrad)	Genus not living
27-13 Ma	Priscofusus geniculus (Conrad)	Fusinus geniculus Conrad	Genus not living
27-13 Ma	Priscofusus geniculus (Conrad)	Fussinus hecoxae (Arnold)	Genus not living
27-13 Ma	Priscofusus geniculus (Conrad)	Priscofusus geniculus (Conrad)	Genus not living
27-13 Ma	Priscofusus medialis (Conrad)	Priscofusus lincolnensis (Anderson and Martin)	Genus not living
27-13 Ma	Priscofusus medialis (Conrad)	Hinia? lincolnensis (Anderson and Martin)	Genus not living
27-13 Ma	Priscofusus medialis (Conrad)	Priscofusus medialis (Conrad)	Genus not living
N.D.	Priscofusus sp.	Priscofusus n.sp.	Genus not living
5 Ma-H	Pristes oblongus Carpenter	Pristes oblongus Carpenter	33N-27N; intertidal, in mantle cavity of Stenoplax
			(chiton)
23-17 Ma	Propeamussium cf. P. clallamensis (Arnold)	Propeamussium cf. P. clallamensis (Arnold)	Genus, 45N-6N; 18 to 4500 m
5 Ma-H	Propebela tabulata (Carpenter)	Mangelia cf. tabulatus Carpenter	Alaska or 37N-24N
13 Ma-H	Protothaca (Callithaca) tenerrima (Carpenter)	Callithaca tenerrima (Carpenter)	57.1N-27.6N; intertidal to 30 m, firm sandy mud, bays
			and sloughs
13 Ma-H	Protothaca (Callithaca) tenerrima (Carpenter)	Paphia tenerrima (Carpenter)	57N-28N; when living, commonly present with Saxidomus nuttalli
			
13 Ma-H	Protothaca (Callithaca) tenerrima (Carpenter)	Protothaca (Callithaca) tenerrima Carpenter	57N-28N
13 Ma-H	Protothaca (Callithaca) tenerrima (Carpenter)	Protothaca tenerrima (Carpenter)	57N-28N
13 Ma-H	Protothaca (Callithaca) tenerrima (Carpenter)	Tapes tenerrima Carpenter	57N-28N
17 Ma-H	Protothaca (Leukcoma) aff. P. (L.) asperrima	Protothaca (Leucoma?) n.sp. aff. P. (L.?)	Gulf of California-5S
	(Sowerby)	asperrima (Sowerby)	
17? or 13 Ma-H	Protothaca (Protothaca) staminea (Conrad)	Tapes staminea (Conrad)	60.8N-22.9N; intertidal to 10 m, abundant in sandy
			bays
17? or 13 Ma-H	Protothaca (Protothaca) staminea (Conrad)	Paphia staminea Conrad	61N-23N
17? or 13 Ma-H	Protothaca (Protothaca) staminea (Conrad)	Paphia staminea (Conrad)	61N-23N
17? or 13 Ma-H	Protothaca (Protothaca) staminea (Conrad)	Protothaca staminea (Conrad)	61N-23N
17? or 13 Ma-H	Protothaca (Protothaca) staminea (Conrad)	Venerupis staminea (Conrad)	61N-23N
17? or 13 Ma-H	Protothaca (Protothaca) staminea (Conrad)	Protothaca (Protothaca) staminea (Conrad)	61N-23N
17? or 13 Ma-H	Protothaca (Protothaca) staminea (Conrad)	Venerupis (Protothaca) staminea (Conrad)	61N-23N
17? or 5 Ma-H	Protothaca (Tropithaca) aff. P. (T.) grata (Say)	Protothaca aff. P. grata Say	27N-20S
23? or 13-2.5 Ma	Protothaca cf. P. staleyi (Gabb)	Paphia cf. staleyi (Gabb)	Genus, 61N-20S
			
5-2.5 Ma	Protothaca grata (Say) tarda (Stewart)	Protothaca grata (Say) tarda (Stewart)	Species, 27N-20S
5-2.5 Ma	Protothaca grata (Say) tarda (Stewart)	Venerupis grata tarda Stewart	Species, 27N-20S
8-5 or 2.5? Ma	Protothaca laciniata (Carpenter) hannibali	Securella staleyi (Gabb) subsp. hannibali (Howe)	Species, 36.8N-26.8N, lintertidal to 5 m, sand or sandy mud in bays
	(Howe)		
8-5 or 2.5? Ma	Protothaca laciniata (Carpenter) hannibali	Protothaca staleyi (Gabb) hannibali (Howe)	Species, 37N-27N
	(Howe)		
8-5 or 2.5? Ma	Protothaca laciniata (Carpenter) hannibali	Venerupis laciniata hannibali (Howe)	Species, 37N-27N
	(Howe)		
N.D.	Protothaca sp.	Tapes sp.	Genus, 61N-20S
N.D.	Protothaca sp.	Paphia sp.	Genus, 61N-20S
23? or 13-2.5 Ma	Protothaca staleyi (Gabb)	Tapes staleyi Gabb	Genus, 61N-20S
			
23? or 13-2.5 Ma	Protothaca staleyi (Gabb)	Chione staleyi Gabb	Genus, 61N-20S
			
23? or 13-2.5 Ma	Protothaca staleyi (Gabb)	Paphia staleyi Gabb	Genus, 61N-20S
			
23? or 13-2.5 Ma	Protothaca staleyi (Gabb)	Protothaca staleyi (Gabb)	Genus, 61N-20S
			
23? or 13-2.5 Ma	Protothaca staleyi (Gabb)	Venerupis staleyii (Gabb)	Genus, 61N-20S
			
8 Ma-H	Prunum (Microspira) labiatum (Kiener, ex	Marginella cf. M. albuminosa Dall	Caribbean
	Valenciennes)		
23-17 Ma	Psephaea (Miopleiona) indurata (Conrad)	Psephaea (Miopleiona) indurata (Conrad)	Genus, living in Japanese waters
N.D.	Psephaea (Miopleiona) sp.	Miopleiona sp.	Genus, living in Japanese waters
27-23 Ma	Psephaea (Miopleiona) weaveri (Tegland)	Psephaea (Miopleiona) weaveri (Tegland)	Genus, living in Japanese waters
8-2.5 Ma	Psephaea oregonensis (Dall)	Fulgoraria (Psephia) oregonensis (Dall)	Genus, living in Japanese waters
8-2.5 Ma	Psephaea oregonensis (Dall)	Miopleiona oregonensis Dall	Genus, living in Japanese waters
8-2.5 Ma	Psephaea oregonensis (Dall)	Psephaea oregonensis (Dall)	Genus, living in Japanese waters
8-2.5 Ma	Psephaea oregonensis (Dall)	Fulgraria oregonensis (Dall)	Genus, living in Japanese waters
17-2.5 Ma	Pseudocardium densatum (Conrad)	Mactra (Pseudocardium) densata (Conrad)	Genus, 45N-40N, Japan
17-2.5 Ma	Pseudocardium densatum (Conrad)	Mactra densata Conrad	Genus, 45N-40N, Japan
17-2.5 Ma	Pseudocardium densatum (Conrad)	Mulinia densata Conrad	Genus, 45N-40N, Japan
			
17-2.5 Ma	Pseudocardium densatum (Conrad)	Mulinia densata var. A.	Genus, 45N-40N, Japan
17-2.5 Ma	Pseudocardium densatum (Conrad)	Pseudocardium densatum (Conrad)	Genus, 45N-40N, Japan
17-2.5 Ma	Pseudocardium densatum (Conrad)	Pseudocardium densatum (Conrad) gabbii	Genus, 45N-40N, Japan
		Rémond	
17-2.5 Ma	Pseudocardium densatum (Conrad)	Pseudocardium gabbi Rémond	Genus, 45N-40N, Japan
17-13 Ma	Pseudocardium densatum minor (Arnold)	Mulinia densata Conrad minor Arnold	Genus, 45N-40N, Japan
17-13 Ma	Pseudocardium densatum minor (Arnold)	Pseudocardium densatum (Conrad) minor	Genus, 45N-40N, Japan
		(Arnold)	
17-13 Ma	Pseudocardium densatum minor (Arnold)	Pseudocardium densatum minor Arnold	Genus, 45N-40N, Japan
13-8 Ma	Pseudocardium pabloensis (Packard)	Mactra pabloensis (Packard)	Genus, 45N-40N, Japan
13-8 Ma	Pseudocardium pabloensis (Packard)	Mulinia pabloensis Packard	Genus, 45N-40N, Japan
13-8 Ma	Pseudocardium pabloensis (Packard)	Pseudocardium pabloensis (Packard)	Genus, 45N-40N, Japan
27-13 Ma	Pseudocardium panzanum (Loel and Corey)	Pseudocardium panzanum (Loel and Corey)	Genus, 45N-40N, Japan
27-13 Ma	Pseudocardium panzanum (Loel and Corey)	Mulinia panzana Loel and Corey	Genus, 45N-40N, Japan
N.D.	Pseudocardium sp.	Pseudocardium sp.	Genus, 45N-40N, Japan
5 Ma-H	Pseudochama exogyra (Conrad)?	Pseudochama exogyra (Conrad)?	38.3N-22.9N; intertidal to 25 m
8-2.5 Ma	Pseudochama sp.	Pseudochama sp.	Genus, 44N-6S; intertidal to 137 m, common intertidal to 55 m
			
8-2.5 Ma	Pseudoliomesus sulculatus (Dall)	Liomesus sulculatus Dall	Genus, 72N-55N
5-2.5 Ma	Pseudomelatoma aff. P. penicillata (Carpenter)	Pseudomelatoma aff. P. semiinflata Grant and	34N-25N; intertidal and offshore, among rocks at low
		Gale	tide
5-2.5 Ma	Pseudomelatoma aff. P. penicillata (Carpenter)	Pseudomelatoma aff. P. moesta (Carpenter)	34N-25N
5-2.5 Ma	Pseudomelatoma fleenerensis (Martin)	Boreotrophon fleenerensis Martin	Genus, 40N-25N; one species in Gulf of California;
			intertidal to 73 m
5-2.5 Ma	Pseudomelatoma fleenerensis (Martin)	Drillia fleenerensis Martin	Genus, 40N-25N
13 Ma-H	Pseudomelatoma penicillata (Carpenter)	Pseudomelatoma penicillata (Carpenter)	34N-25N; intertidal and offshore
17-13 Ma	Pteria berryi Adegoke	Pteria berryi Adegoke	Genus, 34N-5S; in shallow water, in diving range of
			pearl divers
27-23 or 13? Ma	Pteria hertleini Wiedey	Pteria hertleini Wiedey	Genus, 34N-5S
			
23-13 Ma	Pteria jordani Wiedey	Pteria jordani Wiedey	Genus, 34N-5S
27-23 Ma	Pteria rositae Hertlein	Pteria rositae Hertlein	Genus, 34N-5S
13-2.5 Ma	Pteropurpura cf. P. eldridgei (Arnold)	Maxwellia cf. M. eldridgei (Arnold)	Genus, 57N-5S, through Gulf of California
8 Ma-H	Pteropurpura cf. P. festiva (Hinds)	Jaton cf. J. festivus (Hinds)	34N-27N; mud and rock in bays, at low tide on
			exposed coasts
13-2.5 Ma	Pteropurpura eldridgei (Arnold)	Murithais eldridgei (Arnold)	Genus, 57N-5S, through Gulf of California
13-2.5 Ma	Pteropurpura eldridgei (Arnold)	Jaton eldridgei (Arnold)	Genus, 38N-8N; intertidal to 137 m, on rocks
13-2.5 Ma	Pteropurpura eldridgei (Arnold)	Maxwellia eldridgei (Arnold)	Genus, 38N-8N
8 Ma-H	Pteropurpura festiva (Hinds)	Jaton festiva (Hinds)	34N-27N, large specimens common in muddy areas
			in bays
8 Ma-H	Pteropurpura festiva (Hinds)	Jaton (Shaskyus) festivus (Hinds)	34N-27N; intertidal to 137 m, on rocks.
8 Ma-H	Pteropurpura festiva (Hinds)	Triremis festiva Hinds	34N-27N; mud and rock in bays, at low tide on
			exposed coasts
5 Ma-H	Pteropurpura trialata (Sowerby)	Pteropurpura trialata (Sowerby)	34N-32N
N.D.	Pterynotus sp.	Pterynotus sp.	Genus, w. coast Baja California; 27N in Gulf of California-3S; 22 to 110 m
			
5 Ma-H	Puncturella cf. P. cooperi Carpenter	Puncturella cf. P. cooperi Carpenter	55N-33N
5-2.5 Ma	Puncturella cooperi aphales Woodring	Puncturella cooperi aphales Woodring	Genus, 58N-23N; intertidal to 146 m
5 Ma-H	Puncturella galeata (Gould)	Puncturella galeata (Gould)	54N-34N
N.D.	Purpura sp.	Purpura n.sp.? Loel and Corey (1932)	Questionable taxonomic assignment
13-2.5 Ma	Pycnodonte (Pycnodonte) erici (Hertlein)	Ostrea erici Hertelein	Genus not living
27-13 Ma	Pycnodonte (Pycnodonte) ynezana (Loel and Corey)	Ostrea eldridgei (Arnold) ynezana Loel and Corey	Genus not living
			
27-13 Ma	Pycnodonte (Pycnodonte) ynezana (Loel and Corey)	Ostrea eldridgei yneziana Loel and Corey	Genus not living
			
27-13 Ma	Pycnodonte? (Crenostrea?) eldridgei (Arnold)	Crassostrea cf. C. eldridgei (Arnold)	Genus not living
27-13 Ma	Pycnodonte? (Crenostrea?) eldridgei (Arnold)	Ostrea eldridgei Arnold	Genus not living
13? or 5-2.5 Ma	Pycnodonte? (Pycnodonte) heermanii (Conrad)	Pycnodonte heermanni (Conrad)	Genus not living
13? or 5-2.5 Ma	Pycnodonte? (Pycnodonte?) heemanni (Conrad)	Ostrea heermanni Conrad	Genus not living
27-23 Ma	Pycnodonte? (Pycnodonte?) heermanni (Conrad) (4 P. [P.?] wiedeyi [Hertlein]	(Ostrea cf.). heermanni Conrad	Genus not living
			
27-13 Ma	Pycnodonte? (Pycnodonte?) howelli (Wiedey)	Crassostrea howelli (Wiedey)	Genus not living
			
27-13 Ma	Pycnodonte? (Pycnodonte?) howelli (Wiedey)	Ostrea howelli Wiedey	Genus not living
27-17 Ma	Pycnodonte? (Pycnodonte?) loeli (Hertlein)	Ostrea loeli Hertlein	Genus not living
27-17 Ma	Pycnodonte? (Pycnodonte?) loeli (Hertlein)	Ostrea vespertina (Conrad) loeli (Hertlein)	Genus not living
27-17 Ma	Pycnodonte? (Pycnodonte?) loeli (Hertlein)	Ostrea vespertina loeli (Hertlein)	Genus not living
27-23 Ma	Pycnodonte? (Pycnodonte?) wiedeyi (Hertlein)	Ostrea wiedeyi Hertlein	Genus not living
23-13 Ma	Pyramidella (Longchaeus) cooperi Anderson and Martin	Pyramidella (Longchaeus) cooperi Anderson and Martin	Subgenus, 37N-3S, and Gulf of California; intertidal to 26 m
			
23-13 Ma	Pyramidella (Longchaeus) cooperi Anderson and Martin	Pyramidella cooperi Anderson and Martin	Subgenus, 37N-3S, and Gulf of California
			
N.D.	Pyramidella (Longchaeus) sp.	Pyramidella sp.	Subgenus, 37N-3S, and Gulf of California
23-13 Ma	Pyramidella (Syrnola) ochsneri (Anderson and Martin)	Pyramidella (Symola) ochsneri (Anderson and Martin)	Genus, 37N-3S, intertidal to 36 m, on ellgrass
			
23-13 Ma	Pyramidella (Syrnola) ochsneri (Anderson and Martin)	Syrnola scandix Keen	Genus, 37N-3S; subgenus living in Japanese waters
			
23-13 Ma	Pyramidella (Syrnola) ochsneri (Anderson and Martin)	Eulimella ochsneri Anderson and Martin	Genus, 37N-3S; subgenus living in Japanese waters
			
23-13 Ma	Pyramidella (Syrnola) ochsneri (Anderson and Martin)	Pyramidella (Eulimella) ochsneri (Anderson and Martin)	Genus, 37N-3S; subgenus living in Japanese waters
			
N.D.	Pyramidella n.sp. Powell	Pyramidella n.sp. Powell	Genus, 37N-3S
13-8 Ma	Raeta longior (Grant and Gale)	Anatina (Raeta) plicatella (Lamarck) var. longior	Genus, 34N-21S; 25 to 45 m
		Grant and Gale	
17-13 Ma	Raeta traskii (Conrad)	Lutaria traskii Conrad	Genus, 34N-21S
N.D.	Raeta? sp.	Raeta? n.sp.	Genus, 33.7N-21.4S; 2 to 20 m
8-2.5 Ma	Ranella lewisii (Carson)	Gyrineum mediocre lewisii Carson	Genus not living
8-2.5 Ma	Ranella lewisii (Carson)	Gyrineum lewisii Carson	Genus not living
27-23 Ma	Rapana vaquerosensis (Arnold)	Thais vaquerosensis (Arnold)	Genus not living
27-23 Ma	Rapana vaquerosensis (Arnold)	Rapana vaquerosensis (Arnold)	Genus not living
27-17 Ma	Rapana vaquerosensis imperialis Hertlein and Jordan	Rapana imperialis Hertlein and Jordan	Genus not living
			
27-17 Ma	Rapana vaquerosensis imperialis Hertlein and Jordan	Rapana vaquerosensis imperialis Hertlein and Jordan	Genus not living
			
27-23 Ma	Rhinocoryne sespeensis (Loel and Corey)	Potamides sespeensis Loel and Corey	Genus, Gulf of California-Chile; estuaries and
			offshore to 27 m
27-23 Ma	Rhynchopygus californicus (Anderson)	Cassidulus (Rhynchopygus) ynezanus Kew	Genus not living, Eocene to late Oligocene or early
			Miocene in California
13? or 5-2.5 Ma	Rimula cancellata Schremp	Rimula cancellata Schremp	Genus, 28N in Gulf of California; 30 to 80 m
13? or 5-2.5 Ma	Rissoina n.sp. Powell	Rissoina n.sp. Powell	Genus, 28N in Gulf of California-5S; intertidal to 137
			m, rocks
5 Ma-H	Rochefortia tumida (Carpenter)	Mysella (Rochefortia) tumida (Carpenter)	71.4N-32.7N, in Gulf of California; intertidal to 973 m
5 Ma-H	Rochefortia tumida (Carpenter)	Rochefortia tumida (Carpenter)	71N-33N
5 Ma-H	Rochefortia tumida (Carpenter)	Mysella tumida Carpenter	71N-33N
5 Ma-H	Saccostrea palmula (Carpenter) (Ostrea palmula	Ostrea mexicana Sowerby	25N-2S; mangrove roots or rocks, reefs, in depths to
	in Keen, 1971, p. 84)		7m
13-8 Ma	Sanguinolaria alata (Gabb)	Gari alata Gabb	Genus, 30N-4S; intertidal
13-8 Ma	Sanguinolaria alata (Gabb)	Sanguinolaria alata Gabb	Genus, 30N-4S
27-23 Ma	Sanguinolaria cf. S. toulai Hertlein and Jordan	Sanguinolaria cf. toulai Hertlein and Jordan	Genus, 30N-4S
5 Ma-H	Saxicava? cf. S. pholadis (Linnaeus)	Saxicava? cf. S. pholadis (Linnaeus)	72N-8N. If Hiatella, intertidal to 390 m
			
27-23 Ma	Saxidomus barlowi Loel and Corey	Saxidomus barlowi Loel and Corey	Genus, 60N-28N; intertidal to 36 m, in sand or mud
