TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
8 Ma-H	Argopecten ventricosus (Sowerby) 8 Ma-	Chlamys (Argopecten) circularis Sowerby	34.4N-5.1S; 1 to 55 or 135 m
	Holocene		
8 Ma-H	Argopecten ventricosus (Sowerby) 8 Ma-	Pecten (Plagioctenium) circularis Sowerby	34.4N-5.1S; 1 to 55 or 135 m
	Holocene		
8 Ma-H	Argopecten ventricosus (Sowerby) 8 Ma-	Pecten circularis Sowerby	34.4N-5.1S; 1 to 55 or 135 m
	Holocene		
13? or 5-2.5? Ma	Argopecten ventricosus bramkampi (Durham) 13?-2.5? Ma	Aequipecten circularis bramkampi Durham	Species, 34.4N-5.8S; 1 to 55 or 135 m
			
8-2.5 Ma	Argopecten ventricosus calli (Hertlein) 8-2.5 Ma	Pecten (Plagioctenium) calli Hertlein	Species, 34.4N-5.8S; 1 to 55 or 135 m
8-2.5 Ma	Argopecten ventricosus calli (Hertlein) 8-2.5 Ma	Argopecten calli (Hertlein)	Species, 34.4N-5.8S; 1 to 55 or 135 m
8-2.5 Ma	Argopecten ventricosus calli (Hertlein) 8-2.5 Ma	Pecten (Plagioctenium) calli Hertlein	Species, 34.4N-5.8S; 1 to 55 or 135 m
5-2.5 Ma	Argopecten ventricosus eldridgei (Arnold) 5-2.5	Pecten eldridgei Arnold	Species, 34.4N-5.8S; 1 to 55 or 135 m
	Ma		
5-2.5 Ma	Argopecten ventricosus eldridgei (Arnold) 5-2.5	Aequipecten circularis eldridgei (Arnold)	Species, 34.4N-5.8S; 1 to 55 or 135 m
	Ma		
8-2.5 Ma	Argopecten ventricosus impostor (Hanna) 8-2.5	Aequipecten circularis impostor (Hanna)	Species, 34.4N-5.8S; 1 to 55 or 135 m
	Ma		
8-2.5 Ma	Argopecten ventricosus impostor (Hanna) 8-2.5	Aequipecten impostor (Hanna)	Species, 34.4N-5.8S; 1 to 55 or 135 m
	Ma		
8-2.5 Ma	Argopecten ventricosus impostor (Hanna) 8-2.5	Argopecten circularis impostor (Hanna)	Species, 34.4N-5.8S; 1 to 55 or 135 m
	Ma		
13-8 Ma	Argopecten? crassiradiatus (Clark) 13-8 Ma	Pecten crassiradiatus Clark	Genus, 34N-6S
N.D.	Astarte sp.	Astarte sp.	Genus, 71N-48N; 18 to 229 m
13-8 Ma	Asterias remondii Gabb	Asterias remondii Gabb	Generic assignment unreliable
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Architectonica sp.	-1983
			
			
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Astraea (Pachypoma?) biangulata (Gabb)	Subgenus, 34N-10N
			
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Astraea (Pomaulax) biangulata (Gabb)	Subgenus, 34N-10N
			
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Astraea biangulata (Gabb)	Subgenus, 34N-10N
			
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Astraea raymondi (Clark)	Subgenus, 34N-10N
			
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Astralium raymondi Clark	Subgenus, 34N-10N
			
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Calliostoma obliquistriata Trask	Subgenus, 34N-10N
			
27? or 17-2.5 Ma	Astraea (Pomaulax) biangulata (Gabb)	Calliostoma obliquistriata Trask	Subgenus, 34N-10N
			
13? or 8-2.5 Ma	Astraea (Pomaulax) cf. A. (P.) gradata Grant and Gale	Astraea cf. A. (Pomaulax) gradata Grant and Gale	Subgenus, 34N-10N
			
13? or 8-2.5 Ma	Astraea (Pomaulax) gradata Grant and Gale	Astraea (Pomaulax) gradata Grant and Gale	Subgenus, 34N-10N
13? or 8-2.5 Ma	Astraea (Pomaulax) gradata Grant and Gale	Astraea gradata Grant and Gale	Subgenus, 34N-10N
13? or 8-2.5 Ma	Astraea (Pomaulax) gradata Grant and Gale	Pomaulax gradatus (Grant and Gale)	Subgenus, 34N-10N
27-17 Ma	Astraea (Pomaulax) morani Loel and Corey	Astraea morani Loel and Corey	Subgenus, 34N-10N
N.D.	Astraea (Pomaulax) n.sp. Addicott	Astraea (Pomaulax) n.sp. Addicott	Subgenus, 34N-10N
N.D.	Astraea (Pomaulax) sp.	Astraea n.sp.?	Subgenus, 34N-10N
5 Ma-H	Astraea (Pomaulax) undosa (Wood)	Astraea undosa (Wood)	34N-28N; intertidal to 80 m, on rocks
8-5 Ma	Astraea arnoldi (Nomland)	Astralium arnoldi Nomland	Genus, 48N-10N
8 Ma-H	Astraea cf. A. inaequalis (Martyn)	Pachypoma cf. P. precursor Dall	48N-33N
5 Ma-H	Astraea gibberosa (Dillwyn)	Pachypoma cf. P. gibberosum (Dillwyn)	50N-25N; rocky substrate, to 25 m
8 Ma-H	Astraea inaequalis (Martyn)	Astraea inaequalis (Martyn)	48N-33N
N.D.	Astraea sp.	Astraea sp.	Genus, 48N-10N
N.D.	Astraea sp.	Astralium sp.	Genus, 48N-10N
5-2.5 Ma	Astrangia (Astrangia) lajollaensis Durham	Astrangia insignifica Nomland (Cridaria)	Genus, 34N-25N
	(Cridaria)		
5-2.5 Ma	Astrangia (Astrangia) lajollaensis Durham	Astrangia coalingensis Vaughan	Genus, 34N-25N
N.D.	Astrangia sp.	Astrangia sp.	Genus, 34N-3N, through Gulf of California
13-8 Ma	Astrodapsis antiselli Conrad (Echinodermata)	Astrodapsis altus Kew (Echinodermata)	Genus not living
13-8 Ma	Astrodapsis antiselli Conrad	Astrodapsis antiselli Conrad	Genus not living
13-8 Ma	Astrodapsis antiselli Conrad	Astrodapsis margaritanus Kew	Genus not living
13-8 Ma	Astrodapsis antiselli Conrad	Astrodapsis tumidus Rémond	Genus not living
13-8 Ma	Astrodapsis antiselli Conrad	Astrodapsis tumidus Rémond (large variety)	Genus not living
8-5 or 2.5? Ma	Astrodapsis arnoldi Pack	Astrodapsis crassus Kew	Genus not living
8-5 or 2.5? Ma	Astrodapsis arnoldi Pack	Astrodapsis arnoldi Pack	Genus not living
23? or 17-8 Ma	Astrodapsis brewerianus (Rémond)	Astrodapsis hootsi Grant and Eaton (Eaton et al.,	Genus not living
		1941, Pl. V, Fig. 11a)	
23? or 17-8 Ma	Astrodapsis brewerianus (Rémond)	Astrodapsis brewerianus (Rémond)	Genus not living
13-8 Ma	Astrodapsis cierboensis Kew	Astrodapsis cierboensis Kew	Genus not living
13-8 Ma	Astrodapsis cierboensis Kew	Astrodapsis tumidus cierboensis Kew	Genus not living
13-8 Ma	Astrodapsis cierboensis Kew	Astrodapsis tumidus subsp. cierboensis Kew	Genus not living
17? or 13-8 Ma	Astrodapsis cierboensis Kew ( juvenile)	Astrodapsis hootsi Grant and Eaton (Eaton et al.,	Genus not living
		1941, Pl. V, Fig. 11b)	
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis clarki Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis davisi Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis desaixi Grant and Eaton	Genus not living
			
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis englishi Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis goudkoffi Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis gregerseni fragilis Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis gregerseni Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis gregerseni varians Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis isabellae Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis johnsoni Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis johnsoni similis Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis major parens Grant and Eaton	Genus not living
17? or 13-8 Ma	Astrodapsis davisi Grant and Eaton	Astrodapsis quaylei Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis altus antiquus Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis armstrongi Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis auguri Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis brewerianus bitterensis Grant and	Genus not living
		Eaton	
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis brewerianus diabloensis Kew	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis brewerianus emergens Grant and	Genus not living
		Eaton	
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis brewerianus junior Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis cierboensis branchensis Grant and	Genus not living
		Eaton	
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis diabloensis Kew	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis diabloensis superior Grant and	Genus not living
		Eaton	
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis galei Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis ovalis Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis reedi Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis schucherti affinis Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis diabloensis Kew	Astrodapsis schucherti Grant and Eaton	Genus not living
13? or 8-5 Ma	Astrodapsis fernandoensis Pack	Astrodapsis fernandoensis Pack	Genus not living
13? or 8-5 Ma	Astrodapsis jacalitosensis Arnold	Astrodapsis jacalitosensis Arnold	Genus not living
13? or 8-5 Ma	Astrodapsis jacalitosensis Arnold?	Astrodapsis schencki mirandaensis Grant and	Genus not living
		Eaton	
13-8 Ma	Astrodapsis pabloensis (Kew)	Astrodapsis cutleri Grant and Eaton	Genus not living
13-8 Ma	Astrodapsis pabloensis (Kew)	Astrodapsis pabloensis (Kew)	Genus not living
13-8 Ma	Astrodapsis pabloensis (Kew)	Astrodapsis elevatum Grant and Eaton	Genus not living
8-5 Ma	Astrodapsis peltoides Anderson and Martin	Astrodapsis peltoides Anderson and Martin	Genus not living
13? or 8-5 Ma	Astrodapsis spatiosus Kew	Astrodapsis salinasensis Richards	Genus not living
13? or 8-5 Ma	Astrodapsis spatiosus Kew	Astrodapsis spatiosus Kew	Genus not living
13? or 8-5 Ma	Astrodapsis spatiosus? Kew	Astrodapsis scutelliformis Kew	Genus not living
13? or 8-5 Ma	Astrodapsis whitneyi Rémond	Astrodapsis californicus Kew	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis coalingaensis grandis Kew	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis coalingaensis Kew	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis cuyamanus Kew	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis grandis Kew	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis hertleini Grant and Eaton	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis laimingi Grant and Eaton	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis perrini Grant and Eaton	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis whitneyi Rémond	Genus not living
13-8 or 5? Ma	Astrodapsis whitneyi Rémond	Astrodapsis woodringi Grant and Eaton	Genus not living
5 Ma-H	Astropecten armatus Gray (Echinodermata)	Astropecten armatus Gray (Echinodermata)	33N-3S
8 Ma-H	Astyris gausapata (Gould)	Mitrella gausapata (Gould)	60N-27N
8 Ma-H	Astyris gausapata (Gould)	Mitrella carinata (Hinds) var. gausapata (Gould)	60N-27N
8 Ma-H	Astyris gausapata (Gould)	Mitrella carinata gausapata (Gould)	60N-27N
8 Ma-H	Astyris gausapata (Gould) (McLean, 1996)	Astyris gausapata Gould	60-27N
27-8 Ma	Atrina alamedensis (Yates)	Pinna alamedensis Yates	Genus, 34N-5S; to 125 m, offshore mudflats
27-8 Ma	Atrina alamedensis (Yates)	Atrina alamedensis (Yates)	Genus, 34N-5S
13-8 Ma	Atrina bicuniata (Nomland)	Pinna bicuneata Nomland	Genus, 34N-5S
N.D.	Atrina sp.	Pinna (Atrina) sp.	Genus, 34N-5S
			
13-8 Ma	Atrina stephensoni Hanna	Atrina stephensi Hanna	Genus, 34N-5S
23-17 Ma	Aturia angustata (Conrad)	Aturia angustata (Conrad)	Genus not living, Paleocene-Miocene
5 Ma-H	Axinopsida serricata Carpenter	Axinopsida serricata Carpenter	71.4N-28N, in Gulf of California; intertidal
			to 275 m
N.D.	Axinopsida? sp.	Axinopsis? sp	Genus, 71.4N-28N; intertidal to 549 m
5 Ma-H	Balanophyllia elegans Verrill (Cnidaria)	Balanophylla elegans Verrill (Cnidaria)	48N-34N; to 170 m
5-2.5 Ma	Balanus cf. B. aqulia Pilsbry (Arthropoda)	Balanus cf. B. aqulia Pilsbry (Arthropoda)	37N-32N; intertidal to 18 m
17-13 Ma	Balanus cf. B. gregarius (Conrad)	Balanus cf. B. estrellanus Arnold	Not living
13-2.5 Ma	Balanus cf. B. gregarius (Conrad)	Balanus (Tamiosoma) cf. B. (T.) gregarius	Not living
		(Conrad)	
8 Ma-H	Balanus cf. B. nubulis Darwin	Balanus cf. B. nubulis Darwin	55N-30N
13 Ma-H	Balanus concavus Bronn	Balanus concavus Bronn	Worldwide distribution
8-5 Ma	Balanus coosensis Dall (Newman and Ross,	Balanus cf. B. tintinnabulum var. coosensis Dall 1976	Not living
			
17-2.5 Ma	Balanus gregarius (Conrad)	Balanus (Balanus) gregarius (Conrad)	Not living
17-2.5 Ma	Balanus gregarius (Conrad)	Balanus gregarius (Conrad)	Not living
17-2.5 Ma	Balanus gregarius (Conrad)	Tamiosoma gregaria Conrad	Not living
8-5 Ma	Balcis aff. B. rutila (Carpenter)	Eulima aff. E. rutila Carpenter	55N-25N
5 Ma-H	Balcis cf. B. micans (Carpenter)	Balcis cf. B. micans (Carpenter)	48N-27N
17 Ma-H	Balcis cf. B. oldroydi Bartsch	Balcis cf. B. oldroydi Bartsch	56N-3S; intertidal to 229 m
17-13 Ma	Balcis conchita Keen	Balcis conchita Keen	Genus, 56N-3S
17-13 Ma	Balcis lutzi Addicott	Balcis lutzi Addicott	Genus, 56N-3S
17-13 Ma	Balcis petrolia Addicott	Balcis petrolia Addicott	Genus, 56N-3S
8 Ma-H	Balcis rutila (Carpenter)	Melanella (Eulima) rutila Carpenter	55N-25N
8 Ma-H	Balcis rutila (Carpenter)	Balcis rutila (Carpenter)	55N-25N
5 Ma-H	Balcis thersites (Carpenter)	Balcis thersites (Carpenter)	37N-30N
8? Ma-H	Bankia cf. B. setacea (Tryon)	Bankia cf. B. setacea (Tryon)	57.5N-32.7N; intertidal to 90 m, boring into wood
8? Ma-H	Barbatia (Acar) cf. B. (Acar) bailyi (Bartsch)	Barbatia cf. B. bailyi (Bartsch)	35.5N-7.8N; intertidal to 5 m
N.D.	Barbatia (Calloarca) n.sp. Powell	Barbatia (Calloarca) n.sp. Powell	Genus, 35.5N-5S, Gulf of California; intertidal to 120 m
			
5 Ma-H	Barbatia (Fugleria) illota Sowerby	Barbatia (Fugleria) illota Sowerby	29N-5S, through Gulf of California; intertidal to 70 m
8-2.5 Ma	Barbatia (Fugleria) pseudoillota Reinhart	Barbatia pseudoillota Reinhart	Genus, 35.5N-5S, and Gulf of California
N.D.	Barbatia sp.	Arca (Barbatia) sp.	Genus, 35.5N-5S, and Gulf of California
5 Ma-H	Barleeia marmorea (Carpenter)	Diala cf. D. marmorea Carpenter	48N-25N; genus, intertidal to 46 m
17? Ma-H	Barleeia? cf. B. orcutti Bartsch	Barleeia? cf. B. orcutti Bartsch	25N-23N
5 Ma-H	Basterotia (Basterotella) hertleini Durham	Basterotia (Basterotella) hertleini Durham	24N-1S; genus, intertidal to 13 m
5 Ma-H	Bathybembix (Bathybembix) bairdii (Dall)	Turcicula cf. T. bairdii Dall	55N-15N; genus, 55 to 1460 m
23-13 Ma	Batillaria ocoyana (Anderson and Martin)	Batillaria ocoyana (Anderson and Martin)	Genus, equator, salt tide pool, mangrove swamp
23-13 Ma	Batillaria ocoyana (Anderson and Martin)	Clathrodrillia ocoyana (Anderson and Martin)	Genus, equator, salt tide pool, mangrove swamp
23-13 Ma	Batillaria ocoyana (Anderson and Martin)	Drillia ocoyana Anderson and Martin	Genus, equator, salt tide pool, mangrove swamp
13-8 Ma	bernardinid? indet.	Bernardina? sp.	Genus, 36.6N-27.9N; intertidal to 46 m
13 Ma-H	Bittium (Lirobittium asperum (Gabb)	Bittium (Lirobittium) asperum (Gabb)	34N-27N
13 Ma-H	Bittium (Lirobittium) asperum (Gabb)	Bittium asperum (Gabb)	34N-27N
13 Ma-H	Bittium (Lirobittium) asperum (Gabb)	Bittium (Lirobittium) asperum Gabb	34N-27N
5 Ma-H	Bittium (Semibittium) quadrifilatum Carpenter	Bittium (Semibittium) quadrifilatum Carpenter	34N-27N
8? or 5 Ma-H	Bittium (Semibittium) rugatum Carpenter	Bittium rugatum Carpenter	34N-27N
5 Ma-H	Bittium (Stylidium) eschrichtii (Middenforff)	Bittium filosum Gould	57N-48N
13? or 8-2.5 Ma	Bittium arnoldi Bartsch	Bittium casmaliense arnoldi Bartsch	Genus, 60N-23N; intertidal to 659 m; sublittoral under kelp
			
			
13-8 Ma	Bittium bolingerensis (Clark)	Cerithiopsis bolingerensis Clark	Genus, 60N-23N
8-2.5 Ma	Bittium casmaliense Bartsch	Bittium casmaliense Bartsch	Genus, 60N-23N
8? Ma-H	Bittium cf. B. multifilosum Bartsch	Bittium cf. B. attenautum multifilosum Bartsch	37N-34N
8? Ma-H	Bittium cf. B. vancouverense Dall and Bartsch	Bittium cf. B. vancouverense Dall and Bartsch	60N-48N
5-2.5 Ma	Bittium frankeli Faustman	Bittium frankelum Faustman	Genus, 60N-23N
N.D.	Bittium sp.	Bittium sp.	Genus, 60N-23N
27-8 Ma	Bittium topangensis (Arnold)	Bittium topangensis (Arnold)	Genus, 60N-23N
27-8 Ma	Bittium topangensis (Arnold)	Cerithiopsis tumeri Clark	Genus, 60N-23N
27-8 Ma	Bittium topangensis (Arnold)	Cerithium arnoldi Anderson and Martin	Genus, 60N-23N
27-8 Ma	Bittium topangensis (Arnold)	Cerithium topangensis Arnold	Genus, 60N-23N
13-8 Ma	Bittium trampasensis Clark	Bittium trampasensis Clark	Genus, 60N-23N
13-8 Ma	Bittium? pabloensis Clark	Bittium? pabloensis Clark	Genus, 60N-23N
8-5 Ma	Boetica hertleini Kanakoff	Boetica hertleini Kanakoff	Genus, 34N-33N
5 Ma-H	Boreotrophon cf. B. rotundatus Dall (or Trophon [Boreotrophon] . . . )	Boreotrophon cf. B. rotundatus Dall	57N
			
8 Ma-H	Boreotrophon cf. B. sturati (Smith) (or Trophon [Boreotrophon] . . . )	Boreotrophon cf. B. sturati (Smith)	55N-33N
			
5 Ma-H	Boreotrophon clathratus scalariformis (Linnaeus) (or Trophon [Boreotrophon] . . . )	Boreotrophon clathratus scalariformis (Linnaeus)	57N-33N (?)
			
5-2.5 Ma	Boreotrophon durhami Faustman (or Trophon [Boreotrophon] . . . )	Boreotrophon durhami Faustman	Genus, 72N-17N
			
5 Ma-H	Boreotrophon eucymata Dall (or Trophon [Boreotrophon] . . . )	Boreotrophon eucymata Dall	33N
			
8 Ma-H	Boreotrophon multicostatus (Eschscholtz) (or Trophon [Boreotrophon] . . . )	Boreotrophon multicostatus (Eschscholtz)	60N-33N
			
8 Ma-H	Boreotrophon multicostatus (Eschscholtz) (or Trophon [Boreotrophon] . . . )	Trophon multicostata (Eschscholtz)	60N-33N
			
5-2.5 Ma	Boreotrophon raymondi Moody (or Trophon [Boreotrophon] . . . )	Boreotrophon raymondi Moody	Genus, 72N-17N
			
5-2.5 Ma	Boreotrophon raymondi Moody (or Trophon [Boreotrophon] . . . )	Trophon [Boreotrophon] raymondi Dall	Genus, 72N-17N
			
N.D.	Boreotrophon sp. (or Trophon [Boreotrophon] . . . )	Boreotrophon sp.	Genus, 72N-17N
			
N.D.	Boreotrophon sp. (or Trophon [Boreotrophon] . . . )	Boreotrophon sp. (or Trophon [Boreotrophon]	Genus, 72N-17N
		sp.)	
13-8 Ma	Boreotrophon stuarti cierboensis Grant and Eaton (or Trophon [Boreotrophor] . . . )	Boreotrophon stuarti cierboensis Grant and	Species, 55N-33N
		Eaton	
5-2.5 Ma	Boreotrophon stuarti praecursor (Arnold) (or Trophon [Boreotrophon] . . . )	Boreotrophon stuarti praecursor (Arnold)	Species, 55N-33N
			
5 Ma-H	Boreotrophon stuarti Smith (or Trophon [Boreotrophon] . . . )	Trophon [Boreotrophon] stuarti E. A. Smith	55N-33N
			
5-2.5 Ma	Bornia (Temblornia) frankiana Hertlein and Grant	Bornia (Temblornia) frankiana Hertlein	Genus, 24N-6S; 18 to 37 m
23-13 Ma	Bornia (Temblornia) triangulata (Anderson and Martin)	Bornia (Temblornia) triangulata (Anderson and	Genus, 24N-6S
		Martin)	
23-13 Ma	Bornia (Temblornia) triangulata (Anderson and Martin)	Donax (?) triangulata Anderson and Martin	Genus, 24N-6S
			
23-13 Ma	Bornia (Temblornia) triangulata (Anderson and Martin)	Donax triangulata Anderson and Martin	Genus, 24N-6S
			
N.D.	Bornia sp.	Donax n.sp.	Genus, 24N-6S
N.D.	Botula? sp.	Botula? sp.	Genus, 23N-1S
5 Ma-H	Brachidontes (Aeidimytilus) adamsianus (Dunker)	Aeidimytilus adamsianus Dunker	34N-1S; intertidal on rocky shores
			
13-8 Ma	Brachidontes (Aeidimytilus) gabbi (Clark)	Volsella gabbi (Clark)	Genus, 34N-5S
			
13-8 Ma	Brachidontes (Aeidimytilus) gabbi (Clark)	Modiolus gabbi Clark	Genus, 34N-5S
13-8 Ma	Brachidontes (Scolimytilus?) subconvexus (Trask)	Modiolus gabbi subconvexus Trask	Genus, 34N-5S
			
N.D.	Brachidontes sp.	Brachiodontes n.sp.	Genus, 34N-5S
13-8 Ma	Brachidontes? (Scolimytilus?) margaritana (Nomland)	Septifer margaritana Nomland	Genus, 34N-5S; intertidal to 31 m
			
17 Ma-H	Branchiolambrus altus Rathbun (Arthropoda)	Branchiolambrus altus Rathbun (Arthropoda)	Intertidal
5-2.5 Ma	Brisaster towsendi woynari Hertlein and Grant	Brisaster towsendi woynari Hertlein and Grant (Echinodermata)	Species, 37N-8N
			
5 Ma-H	Brissopsis pacifica (A. Agassiz)?	Brissopsis pacifica (A. Agassiz)?	34N-8N
		(Echinodermata)	
27-13 Ma	Bruclarkia barkeriana (Cooper)	Agasoma barkerianum Cooper santacruzanum	Genus not living
		Arnold	
27-13 Ma	Bruclarkia barkeriana (Cooper)	Agasoma gravidum Gabb	Genus not living
27-13 Ma	Bruclarkia barkeriana (Cooper)	Bruclarkia barkeriana forma santacruzana	Genus not living
		(Arnold)	
27-13 Ma	Bruclarkia barkeriana (Cooper)	Bruclarkia barkerianum (Cooper)	Genus not living
27-13 Ma	Bruclarkia barkeriana (Cooper)	Bruclarkia barkerianum (Cooper)	Genus not living
27-13 Ma	Bruclarkia barkeriana (Cooper)	Bruclarkia barkerianum (Cooper) santacruzanum	Genus not living
		(Arnold)	
27-13 Ma	Bruclarkia barkeriana (Cooper)	Bruclarkia geniculata (Conrad)	Genus not living
27-13 Ma	Bruclarkia barkeriana (Cooper)	Bruclarkia barkeriana(Cooper)	Genus not living
27-13 Ma	Bruclarkia barkeriana (Cooper)	Agasoma barkerianum Cooper	Genus not living
27-17 Ma	Bruclarkia barkeriana (Cooper) santacruzana (Arnold)	Bruclarkia barkerianum (Cooper) santacruzanum	Genus not living
		(Arnold)	
27-17 Ma	Bruclarkia barkeriana (Cooper) santacruzana (Arnold)	Bruclarkia barkerianum sanctacruzanum (Arnold)	Genus not living
			
27-17 Ma	Bruclarkia barkeriana (Cooper) santacruzana (Arnold)	Agasoma sanctacruzana Arnold	Genus not living
			
27-17 Ma	Bruclarkia barkeriana (Cooper) santacruzana (Arnold)	Agosoma sanctacruzanum Arnold	Genus not living
			
27-13 Ma	Bruclarkia oregonensis (Conrad)	Agasoma andersoni Wiedey	Genus not living
27-13 Ma	Bruclarkia oregonensis (Conrad)	Agasoma oregonense Anderson and Martin	Genus not living
27-13 Ma	Bruclarkia oregonensis (Conrad)	Bruclarkia oregonense (Conrad)	Genus not living
27-13 Ma	Bruclarkia oregonensis (Conrad)	Bruclarkia oregonensis (Conrad)	Genus not living
27-13 Ma	Bruclarkia oregonensis (Conrad)	Bruclarkia oregonensis (Conrad) yaquinanum	Genus not living
		(Anderson and Martin)	
N.D.	Bruclarkia sp.	Bruclarkia sp.	Genus not living
27-23 Ma	Bruclarkia yaquinana (Anderson and Martin)	Bruclarkia yaquinana (Anderson and Martin)	Genus not living
N.D.	Buccinum sp.?	Buccinum? sp.	Genus, 72N-29N; 9 to 2928 m
5 Ma-H	Buccinum strigillatum Dall	Buccinum strigillatum Dall	48N-29N
5 Ma-H	Bulla (Bulla) gouldiana Pilsbry	Bulla gouldiana Pilsbry	34N-3S, through Gulf of California, intertidal, in bays
